日本語をコン、テッペー。 - 日本語wokon、teppe-。 -  Japanese snacks
日本語学習者の皆さんをいつも応援する? - 日本語学習者no皆sanwoitsumo応援suru? -  Japanese accent
おときやすと、今日は何時ですか? - otokiyasuto、今日ha何時desuka? -  Os置 at a cookie store
に、ついて。 - ni、tsuite。 -  Again
皆さん、元気ですか? - 皆san、元気desuka? -  What is today
僕は元気ですよ。 - 僕ha元気desuyo。 -  Conátion
元気が一番ですね。 - 元気ga一番desune。 -  Hello everyone
元気が一番大事ですね。 - 元気ga一番大事desune。 -  Are you serious?
いろいろなことが大事です。 - iroironakotoga大事desu。 -  I'm serious.
大事大切なことはたくさんあります。 - 大事大切nakotohatakusan'arimasu。 -  The most serious is the most important.
元気とかね、元気は大事ですよね。 - 元気tokane、元気ha大事desuyone。 -  Most important things.
お金? - o金? -  There are many important things.
お金も大事ですね。 - o金mo大事desune。 -  I'm serious.
お金は大事です。 - o金ha大事desu。 -  Money?
あと、家族。 - ato、家族。 -  Money is important.
家族も大事。 - 家族mo大事。 -  Money is important.
でも元気なのは大事ですよやっぱりね。 - demo元気nanoha大事desuyoyapparine。 -  Family is important.
今日も頑張って元気に日本語を勉強していきましょう。 - 今日mo頑張tte元気ni日本語wo勉強shiteikimashou。 -  But it's important.
今日は今何時ですか? - 今日ha今何時desuka? -  Let's study Japanese today.
について話します。 - nitsuite話shimasu。 -  What are you talking about today?
今何時ですか? - 今何時desuka? -  What is it now?
東京はですね。 - 東京hadesune。 -  I live in Tokyo.
僕は東京に住んでいます。 - 僕ha東京ni住ndeimasu。 -  Tokyo is now 3 pm.
僕は東京に住んでいます。 - 僕ha東京ni住ndeimasu。 -  5 pm.
東京は今は今ですね。 - 東京ha今ha今desune。 -  What is it now?
今、3時ですね。 - 今、3時desune。 -  Is it morning?
3時。 - 3時。 -  Is it the day or night?
昼の3時。 - 昼no3時。 -  Is it the 7 pm or 8 pm?
昼の3時です。 - 昼no3時desu。 -  9 pm, 10 pm, 11 pm, and the day.
5号3時。 - 5号3時。 -  12 pm, 12 pm, and the day.
昼の3時。 - 昼no3時。 -  6 pm, and the day.
皆さんは今何時ですか? - 皆sanha今何時desuka? -  6 pm, and the day.
朝ですか? - 朝desuka? -  Is it the day or night?
朝? - 朝? -  9 pm, and the day.
昼ですか? - 昼desuka? -  12 pm, and the day.
昼? - 昼? -  It's the day after that.
それとも夜ですか? - soretomo夜desuka? -  Please sleep.
夜? - 夜? -  Today is the day.
朝の7時ですか? - 朝no7時desuka? -  What is it now?
朝の8時ですか? - 朝no8時desuka? -  I'm in Tokyo now.
朝の9時、10時、11時? - 朝no9時、10時、11時? -  5 pm, and the day of the day.
あと、昼ですね。 - ato、昼desune。 -  The city of the village of everyone.
昼の12時。 - 昼no12時。 -  What is the day or night?
1時、昼の1時。 - 1時、昼no1時。 -  What is the river of America?
昼の2時、昼の3時。 - 昼no2時、昼no3時。 -  What is the river of New York?
昼の5時、昼の6時。 - 昼no5時、昼no6時。 -  What is Los Angeles?
昼じゃないな。 - 昼janaina。 -  What is Mexico?
6時は、 - 6時ha、 -  What is Brazil?
6時は夕方ですね。 - 6時ha夕方desune。 -  What is Hawaii?
夕方の5時。 - 夕方no5時。 -  What is it now?
夕方の6時。 - 夕方no6時。 -  Where is it now?
夕方っていますね。 - 夕方tteimasune。 -  See you tomorrow. Bye bye, Chao Chao.
