?,A a,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound1_lit.mp3]
?,Á á,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound2_lit.mp3]
?,Ä ä,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound3_lit.mp3]
?,B b,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound4_lit.mp3]
?,C c,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound5_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound6_lit.mp3]
?,D d,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound7_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound8_lit.mp3]
?,DZ Dz dz,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound9_lit.mp3]
?,D? D? d?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound10_lit.mp3]
?,E e,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound11_lit.mp3]
?,É é,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound12_lit.mp3]
?,F f,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound13_lit.mp3]
?,G g,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound14_lit.mp3]
?,H h,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound15_lit.mp3]
?,CH Ch ch,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound16_lit.mp3]
?,I i,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound17_lit.mp3]
?,Í í,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound18_lit.mp3]
?,J j,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound19_lit.mp3]
?,K k,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound20_lit.mp3]
