päťdesiat gramov,Fifty grammes
sto gramov,One Hundred grammes
dvesto gramov,Two Hundred grammes
tristo gramov,Three Hundred grammes
štyristo gramov,four hundred grammes
štvrť kila,a quarter of a kilogramme
pol kila,half a kilogramme
tri štvrte kila, three quarters of a kilogramme
jedno kilo,one kilogramme
dve kilá,two kilos
tri kilá,three kilos
štyri kilá,four kilos
päť kíl,five kilos
štvrť litra,a quarter of a litre
pol litra,half a litre
tri štvrte litra,three quarters of a litre
jeden liter,one litre
dva litre,two litres
tri litre,three litres
štyri litre,four litres
päť litrov,five litres
