chcieť ,to want
ja chcem,I want singular
ty chceš,you want informal singular
on chce,he wants singular
ona chce,she wants singular
ono chce,it wants singular
my chceme,we want plural
vy chcete,you want formal plural
ony chcú,they want plural
môcť ,"can, to be able"
ja môžem,I can singular
ty môžeš,You can informal singular
on môže,he can singular
ona môže,she can singular
ono môže,it can singular
my môžeme,we can plural
vy môžete,you can formal plural
ony môžu,then can plural
mať,"to have, should, to have an obligation to"
ja mám,I have Singular
ty máš,You have singular informal
on má,he has singular
ona má,she has singular
ono má,it has singular
my máme,we have plural
vy máte,you have formal plural
ony majú,they have
musieť,"must, to have to"
ja musím,I must singular
ty musíš,You must informal singular
on musí,He must singular
ona musí,She must singular
ono musí,it must singular
my musíme,we must plural
vy musíte,you must formal plural
ony musia,they must plural
